state,F7,F3,P7,O1,O2,P8,AF4
focussed,4013.577724358975,4926.814903846154,4281.406250000001,4227.427884615385,4058.902243589744,4088.3092948717954,4097.788461538462
focussed,3977.4198717948725,4953.028846153847,4270.148237179487,4189.258814102564,4041.3181089743593,4078.189102564103,4064.839743589744
focussed,3990.552884615385,5151.658653846154,4410.444711538462,4021.10576923077,3841.370192307693,4233.321314102564,4156.915064102564
focussed,3574.342948717949,5249.206730769231,4533.9182692307695,3551.2099358974365,3238.597756410257,4309.4911858974365,4168.745993589744
focussed,3639.310897435898,4843.285256410257,4175.572916666667,3936.1899038461543,3786.330128205129,3952.5160256410263,4106.951121794872
focussed,3958.7940705128212,4885.616987179488,4155.620993589744,4264.6474358974365,4117.688301282052,3970.785256410257,4165.42467948718
focussed,4046.7948717948725,4966.298076923077,4196.638621794872,4308.08092948718,4139.214743589744,4017.892628205129,4132.339743589744
focussed,4006.04967948718,4986.450320512821,4214.771634615385,4284.27483974359,4065.5448717948725,4061.04967948718,4082.2355769230776
focussed,4007.467948717949,5036.221955128206,4266.650641025642,4260.625000000001,4066.3782051282055,4114.310897435898,4090.905448717949
focussed,4028.76201923077,5080.136217948719,4289.871794871796,4223.1370192307695,4069.1907051282055,4126.133814102564,4110.1161858974365
focussed,4002.632211538462,5056.714743589744,4306.470352564103,4159.731570512821,4035.9535256410263,4148.9182692307695,4092.463942307693
focussed,3997.227564102565,4987.732371794872,4245.885416666667,4221.786858974359,4065.4006410256416,4086.3942307692314,4084.350961538462
focussed,4009.651442307693,4983.201121794872,4237.560096153847,4239.727564102564,4088.29326923077,4076.626602564103,4083.4935897435903
focussed,4025.432692307693,5006.502403846154,4271.590544871796,4252.620192307693,4097.343750000001,4092.4879807692314,4082.7043269230776
focussed,4036.686698717949,4990.9495192307695,4277.920673076924,4262.880608974359,4111.029647435898,4095.32451923077,4087.239583333334
focussed,4042.852564102565,4979.354967948719,4265.508814102564,4275.000000000001,4121.410256410257,4087.2355769230776,4077.748397435898
focussed,4028.345352564103,4981.554487179488,4259.050480769231,4255.8173076923085,4107.640224358975,4087.035256410257,4083.365384615385
focussed,4030.108173076924,4979.987980769231,4259.154647435898,4269.911858974359,4115.849358974359,4079.399038461539,4098.497596153847
focussed,4021.069711538462,4996.858974358975,4274.755608974359,4270.805288461539,4102.756410256411,4093.645833333334,4087.259615384616
focussed,3995.208333333334,4985.837339743591,4271.20592948718,4263.060897435898,4075.2323717948725,4098.573717948719,4077.76842948718
focussed,4009.1105769230776,5006.702724358975,4309.523237179487,4224.395032051282,4022.2756410256416,4112.6682692307695,4071.899038461539
focussed,3765.3846153846157,5346.241987179488,4578.782051282052,3692.820512820513,3332.211538461539,4366.157852564103,4182.71233974359
focussed,3607.5721153846157,5163.886217948719,4460.568910256411,3791.654647435898,3507.664262820513,4214.094551282052,4228.9423076923085
focussed,3806.842948717949,4876.065705128206,4186.169871794872,4168.750000000001,3947.251602564103,4014.2868589743593,4187.608173076924
focussed,3983.6378205128212,4892.780448717949,4180.444711538462,4324.326923076924,4102.784455128206,4045.42467948718,4139.419070512821
focussed,4013.1450320512827,5153.0849358974365,4463.441506410257,4197.159455128206,3898.1931089743593,4321.722756410257,4240.472756410257
focussed,3905.785256410257,5137.227564102564,4464.006410256411,4198.741987179487,3918.9543269230776,4321.967147435898,4188.044871794872
focussed,4024.4911858974365,4961.402243589744,4280.7932692307695,4357.960737179488,4144.48717948718,4115.52483974359,4134.234775641026
focussed,4057.7884615384623,4986.5745192307695,4260.8173076923085,4341.690705128206,4156.999198717949,4107.852564102564,4140.701121794872
focussed,4036.017628205129,4998.273237179488,4259.2307692307695,4303.465544871796,4125.89342948718,4116.073717948719,4113.297275641026
focussed,4017.76842948718,4994.719551282052,4269.591346153847,4273.886217948719,4093.333333333334,4113.770032051282,4085.0080128205136
focussed,4025.0881410256416,5022.532051282052,4299.33092948718,4274.623397435898,4085.7612179487187,4132.888621794872,4109.375000000001
focussed,3993.6137820512827,5122.359775641026,4404.274839743591,4119.655448717949,3991.5424679487187,4235.801282051282,4174.298878205129
focussed,3936.177884615385,5161.9110576923085,4453.525641025642,4084.23076923077,3848.529647435898,4269.935897435898,4248.517628205129
focussed,3666.967147435898,5242.888621794872,4534.054487179488,3887.9887820512827,3596.5344551282055,4288.193108974359,4182.1474358974365
focussed,3849.38701923077,4825.0360576923085,4141.750801282052,4303.309294871796,4013.5256410256416,3912.191506410257,4052.7564102564106
focussed,4075.1442307692314,4902.495993589744,4178.641826923077,4473.790064102564,4190.0360576923085,4024.6794871794878,4131.414262820514
focussed,4068.7780448717954,5005.516826923077,4265.388621794872,4382.291666666667,4127.856570512821,4115.328525641026,4138.413461538462
